No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
317	REQ_USR_ID	VARCHAR2	30	3	3	의뢰자ID(1) | 보존처리요청자ID(1) | 복원요청자ID(1)	의뢰자ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
318	STG_DIV	VARCHAR2	2	3	2	스토리지구분(2) | 스토리지구분 (01:활용,02:보존,03:작업)(1)	스토리지구분	통일	표기변형/음차/영문누출 차이만
319	RET_YN	VARCHAR2	1	3	2	정리인수반려여부 0 : 의뢰, 1 : 반려, 2 : 인수(2) | RET여부(1)	정리인수반려여부 0 : 의뢰, 1 : 반려, 2 : 인수	통일	표기변형/음차/영문누출 차이만
320	REQ_USR_ID	VARCHAR2	20	3	2	의뢰자ID(2) | 복원요청자ID(1)	의뢰자ID	통일	표기변형/음차/영문누출 차이만
321	REQ_PURPOSE	VARCHAR2	2	3	2	반출목적(US002)(2) | 반출목적(1)	반출목적(US002)	통일	표기변형/음차/영문누출 차이만
322	DELUSER	VARCHAR2	20	3	2	삭제자ID(2) | 삭제자(1)	삭제자ID	통일	표기변형/음차/영문누출 차이만
323	TERM_ID	NUMBER	10	3	2	시소러스 용어ID(2) | 시로러스 용어ID(1)	시소러스 용어ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
324	STATUS	CHAR	1	3	2	상태(I:등록,M:수정,:C:검증,D:삭제)(2) | 상태(1)	상태(I:등록,M:수정,:C:검증,D:삭제)	통일	표기변형/음차/영문누출 차이만
325	NOPN_RS_COD	VARCHAR2	2	3	2	NOPNRS코드(2) | 비공개사유코드(1)	NOPNRS코드	통일	표기변형/음차/영문누출 차이만
326	APPROVAL_DT	DATE		2	2	결재상신_일시(1) | 시소러스이관일시(1)	결재상신_일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
327	CHECK_STAT_CD	VARCHAR2	1	2	2	기록물점검작업구분(1) | 기록물점검작업구분(R:대기, I:점검중, F:점검완료)(1)	기록물점검작업구분	통일	표기변형/음차/영문누출 차이만
328	CHECK_STRT_DATE	VARCHAR2	14	2	2	기록물 점검 시작  일시(1) | 확인개시날짜(1)	기록물 점검 시작  일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
329	ERROR_MSG	VARCHAR2	500	2	2	기록물 오류 내용(1) | 오류메세지(1)	기록물 오류 내용	분리?	핵심명사 상이: 기록물오류내용 / 오류메세지
330	RECOVER_DATE	VARCHAR2	14	2	2	기록물 복구 일시(1) | 기록물복구일시(1)	기록물 복구 일시	통일	표기변형/음차/영문누출 차이만
331	IMPORTANT_DESC	VARCHAR2	500	2	2	주요설명(1) | 주요내용(1)	주요설명	분리?	핵심명사 상이: 주요설명 / 주요내용
