영문약어	빈도	사전등록	사전단어명	한글후보_단일컬럼	샘플컬럼
FNPR	11	Y	비치기록물		tb_zzfnctclsf.fnpr_dcdt; tb_zzsendunit.fnpr_trnsf_mmt
ADR	10	Y	시청각기록물		object_taget_data.adr_type; object_taget_data.adr_cn_smmr
SNDPTY	10	Y	발신자	발신자(5)	object_taget_data.sndpty; tb_crrecord.sndpty
R	10	Y	재		object_taget_data.fls_neob_r_cnvr_job_id; object_taget_data.fls_neob_r_cnvr_stts
QLIN	10	Y	품질검사		object_taget_data.qlin_stts_cd; tb_dforgtkovlist.qlin_yn
EXPC	10	Y	예상		tb_dfdscdhist.bfch_expc_dscd_year; tb_dfrevlhist.bfch_expc_dscd_year
REAP	10	Y	재책정		tb_dfdscdhist.reap_bfr_prsr_pd; tb_dfdscdhist.reap_aftr_prsr_pd
MEMO	10	Y	메모		tb_dftransferrorprcshist.memo_cn; tb_streqclgnopnnfolder.trdv_rvw_opnn_memo
KEY	10	Y	키		tb_dftransfprcsrcpterror.ritm_key; tb_dftransfacptnresultdtl.ritm_key
PBLC	10	Y	발간		tb_gvrnprdl.pblc_id; tb_gvrnprdl.pblc_reg_sn
NARS	10	Y	국가기록원		tb_gvrnprdl.nars_posc_yn; tb_zzprsrtermhist.nars_prsr_pd_cd
ACNT	10	Y	계정		tb_rcmissingmemo.acnt_id; tb_rddscdphbtappoint.dscd_phbt_dsgn_acnt_id
LNKG	10	Y	연결		tb_rdrecord_nonelect.lnkg_chnrg; tb_stbefrlslist.file_lnkg_path
INSTL	10	Y	설치		tb_rffixreder.instl_usg; tb_rffixreder.instl_pstn
DWNLD	9	Y	다운로드		j_attachfile.dwnld_cnt; j_attachfile.dwnld_expry_ymd
DLRY	9	Y	배부		object_taget_data.dcdv_dlry_no; tb_crdistr.dlry_ldgr_id
INSP	9	Y	검사		object_taget_data.scnn_insp_se_cd; object_taget_data.scan_insp_cmptn_yn
DESC	9	Y	기술		object_taget_data.arngmt_desc; tb_adarchivalobj.dscd_pbanc_desc
INPT	9	Y	입력		object_taget_data.trnstn_inpt_yn; object_taget_data.vrms_inpt_yn
CRLTN	9	Y	배포		object_taget_data.crltn_no; object_taget_data.crltn_dt
LDGR	9	Y	대장		tb_crdistr.dlry_ldgr_id; tb_rdprsldoc.prsl_ldgr_sn
LINE	9	Y	라인		tb_crntfctnrcptresult.list_line_no; tb_dftransfprcsrcpterror.list_line_no
PBLCN	9	Y	발행		tb_gvrnprdl.pblcn_ymd; tb_rftabpub.tag_pblcn_type
SORT	9	Y	정렬	정렬(1)	tb_mainstatistics.sort; tb_stmenu.menu_sort_seq
MULTI	9	Y	다중		tb_rdmultiaprovcreat.multi_aprv_ritm_id; tb_rdmultiaprovdoc.multi_aprv_ritm_id
ADDR	9	Y	주소	주소(3)	tb_stdownipmng.user_ip_addr; tb_stformatsrvrinfo.srvr_ip_addr
DATE	8	Y	날짜		j_attachfile.reg_date; tb_streqresult.job_bgng_date
MNSC	8	Y	사본		object_taget_data.orgnl_mnsc_yn; tb_crrecord.orgnl_mnsc_yn
PRTN	8	Y	추진		object_taget_data.prtn_pd_bgng_ymd; object_taget_data.prtn_pd_end_ymd
PRVT	8	Y	비공개		object_taget_data.list_prvt_grds; object_taget_data.list_prvt_rsn
GRDS	8	Y	근거		object_taget_data.list_prvt_grds; tb_dfexcursus.excss_grds
CPYR	8	Y	저작권		object_taget_data.cpyr_type; tb_gvrnprdl.cpyr_agre_type
DST	8	Y	파기		tb_adarchival_dst.adaf_dst_sn; tb_adarchival_dst.adaf_dst_rsn
ALCT	8	Y	할당		tb_crfolder.prsr_mthd_alct_cd; tb_mgfolder.prsr_mthd_alct_cd
LOG	8	Y	로그		tb_crreport.rcpt_log_file_nm; tb_sterrorlog.err_log_seq
PRMN	8	Y	영구		tb_crreporthist.prmn_inst_nm; tb_crreporthist.prmn_inst_pic_nm
DLBDC	8	Y	심의서		tb_dfdscddlbr.evl_dlbdc_no; tb_dfdscddlbrdoc.dscd_dlbdc_sn
