x	y	text
273	75	수신자_발신자
897	75	기술영역내용
578	75	비고
349	76	기술분류ID
367	76	열람조건__33673
386	76	PUBLISH_INFO
501	76	최종수정자ID
642	76	경제주체
656	76	연령
484	76	주기사항
673	76	최초등록일시
976	76	보존기간명
997	76	통계건수7
1017	76	통계건수34
692	76	최종수정일시
876	76	비고
199	76	최종수정일시
403	76	ORG_COD
553	76	보존1년기록
780	76	조정일자
109	76	행번호
762	76	승인요청단위과제건수
858	76	보존기간코드
247	76	특수목록오류여부
315	76	이관일련번호
743	76	기능분류체계
838	77	기관코드
273	77	문서과배부번호
897	77	비고
367	77	출판정보
386	77	TRANS_DAY
501	77	최종수정일시
578	77	최초등록자ID
349	77	기관구분
642	77	기타특성
656	77	경제주체
673	77	최종수정자ID
976	77	보존방법
997	77	통계건수8
1017	77	통계건수35
484	77	최초등록자
199	77	최종수정자ID
403	77	SKL_DIV_COD
553	77	비고
780	77	조정보존기간코드
876	77	최초등록자ID
762	77	단위과제오류건수
858	77	STUTE_GRUND
524	78	SID
247	78	기타오류여부
315	78	철에속한 전자기록물건_개수
743	78	목적별단계
273	78	생산기관등록번호
838	78	기준년도
897	78	최초등록자ID
578	78	최초등록일시
349	78	기관코드
367	78	수집이관이력
386	78	POSS_HIS
501	78	공개제한사유__34198
642	78	연관영역
656	78	기타특성
109	78	구분
294	78	생산기본목록SID (FK)
484	78	최초등록일시
673	78	최종수정일시
976	78	보존방법명
997	78	통계건수9
1017	78	통계건수36
876	79	최초등록일시
553	79	최초등록자ID
780	79	조정검토사유
762	79	전송구분코드
858	79	책정사유
524	79	SID
247	79	오류내역
315	79	철에속한비전자기록물건_개수
743	79	목적분류코드
838	79	등록일
273	79	전자기록물여부
897	79	최초등록일시
367	79	보존이력
386	79	TRANS_DAY_OLD
578	79	최종수정자ID
403	79	ALL_ORG_NM
642	79	핵심영역
656	79	연관영역
976	80	이관기관코드
997	80	통계건수10
1017	80	통계건수37
109	80	롤필름
294	80	생산세부목록SID (FK)
484	80	최종수정자
553	80	최초등록일시
780	80	조정검토법적근거
876	80	최종수정자ID
762	80	접수파일명
858	80	공통분류기준
247	80	검사여부
349	80	최초등록자ID
743	80	목적분류명
273	80	기록물철분류번호
430	80	기술분류ID
838	80	기관여부
897	80	최종수정자ID
416	80	기술분류ID
578	80	최종수정일시
367	81	임시저장여부
386	81	TEMP_SAVE_YN
403	81	LOWST_ORG_NM
642	81	제공방식
656	81	핵심영역
109	81	피시
484	81	LST_UPD_DT
976	81	이관기관명
