size	x	y	text
1.3	1000	711	기록관리표준업무변경이력
1.3	519	712	지정신청첨부파일정보(PL)
1.3	144	715	매체수록기준예시(SM)
1.3	700	716	대출/반납(SP)
1.3	650	717	홍보물및책자(SP)
1.3	114	717	저장매체사용정보(전자기록물복구시스템)
1.3	324	719	전거DB 수정요청
1.3	628	719	외부소장물(SP)
1.3	206	720	KH_AUTH_OPERATION_IMSI
1.3	249	720	KH_AUTH_CAREER_IMSI
1.3	270	720	KH_ORGDELETE
1.3	231	721	KH_ORGNOTICE
1.3	303	721	전거DB 상세유형
1.3	506	725	수집목표량
1.3	865	727	교육생(SP)
1.3	937	731	기록관정보시스템품목현황(SP)
1.3	116	731	네오매체수록오류내역
1.3	421	732	M/F작업스케줄링목록
1.3	964	732	기록관정보시스템현황
1.3	395	732	DVD 작업스케줄링목록
1.3	905	733	기록관정보시스템품목별세부규격현황(SP)
1.3	448	733	OD복제작업스케줄링목록
1.3	892	734	강사경력(SP)
1.3	581	740	소제정보조사(PL)
1.3	530	744	수집현황(PL)
1.3	550	744	기획수집계획(PL)
1.3	565	744	기획수집주제(PL)
1.3	215	750	KH_AUTH_RECORD_IMSI
1.3	195	751	처리과기관코드임시목록
1.3	129	753	매체수록기준(SM)
1.3	395	753	SV_이관매체 작업스케줄링목록
1.3	447	753	복제M/F대출 작업스케줄링목록
1.3	420	754	매체이전 작업스케줄링목록
1.3	143	755	기록매체상태기준(SM)
1.3	273	757	문서전송내역
1.3	292	757	이관에러(CM)
1.3	249	760	큐테이블내역
1.3	331	761	스캐닝업로드요청(SV)
1.3	313	761	스캐닝열람파일해상도(SV)
1.3	350	761	스캐닝열람파일해상도변경이력(SV)
1.3	820	762	정보화사업단계(SP)
1.3	838	762	법령/표준(SP)
1.3	854	762	분류(SP)
1.3	744	762	지도점검 항목(SP)
1.3	622	762	??수신파일상태내역
1.3	642	762	??심의정보내역
1.3	663	762	교류실적(SP)
1.3	685	762	교류실적방문자(SP)
1.3	709	762	지도점검조치결과(SP)
1.3	728	762	지도점검결과(SP)
1.3	772	764	정보화요청서(SP)
1.3	787	764	정보화사업계획(SP)
1.3	804	764	정보화사업(SP)
1.3	897	765	일용직요원학력(SP)
1.3	918	766	일용직요원(SP)
1.3	958	767	자료관설치운영현황(SP)
1.3	935	767	자격/특기사항(SP)
1.3	980	767	자산이력(SP)
1.3	998	767	자산(SP)
1.3	1025	767	정보화유지보수신청(SP)
1.3	1047	769	기록관리표준분야코드
1.3	1011	769	주변장치(SP)
1.3	290	774	파일확장자목록(임시)
1.3	268	775	이관태스크(CP)
1.3	359	778	TODO(CM)
1.3	249	780	사용자접근로그(SM)
1.3	861	781	보도(SP)
1.3	116	782	훼손상태기준(SM)
1.3	935	784	일용직요원경력(SP)
1.3	897	785	일용직요원실적(SP)
1.3	153	787	준칙관리_기관별코드
1.3	129	788	단위과제BRM통보파일내역
1.3	1050	789	??검토의견내역
1.3	846	790	보도요청(SP)
1.3	380	791	총독부기록물 정보 비교
1.3	561	791	M/F 정수점검리스트
1.3	579	791	OD복제 정수점검내역
1.3	619	791	장비점검단위(SP)
1.3	634	791	점검단위별점검항목구분(SP)
1.3	653	791	점검단위별점검항목(SP)
1.3	677	791	항목별점검결과(SP)
1.3	696	791	유지보수점검일지(SP)
1.3	714	791	유지보수검사조서(SP)
1.3	733	791	유지보수계약(SP)
1.3	751	791	유지보수대상장비(SP)
1.3	953	792	재난대비책(SP)
1.3	447	792	가치평가기준(SM)
1.3	821	793	정보화사업결과(SP)
1.3	406	793	분리등록
1.3	418	793	자료실점검리스트
1.3	431	793	자료실배치내역
1.3	465	793	기관별 템플릿관리(AM)
1.3	968	793	정리원원(SP)
1.3	983	793	정보화교육(SP)
1.3	775	794	포상자(SP)
1.3	921	801	사업장(SP)
1.3	882	804	사업장별계획(SP)
1.3	153	805	생산현황_기록물생산량
1.3	897	805	사업장별실적항목(SP)
1.3	582	807	장기보존매체 정수점검내역
1.3	562	810	이관매체 정수점검내역
